Simulation Iteration Time Var1 Var2 Var3 Var4
1.00000 1501.00 1.92855 1514.00 91.0000 84.0000 98.0000
2.00000 1501.00 1.85526 1496.00 98.0000 71.0000 104.000
1.00000 1511.00 1.93838 1524.00 91.0000 84.0000 98.0000
2.00000 1511.00 1.86708 1504.00 98.0000 69.0000 104.000
1.00000 1521.00 1.94703 1534.00 91.0000 84.0000 98.0000
2.00000 1521.00 1.87628 1513.00 98.0000 68.0000 104.000
1.00000 1531.00 1.95631 1544.00 91.0000 84.0000 98.0000
2.00000 1531.00 1.89181 1523.00 98.0000 68.0000 104.000
1.00000 1541.00 1.97986 1553.00 91.0000 83.0000 98.0000
2.00000 1541.00 1.90403 1533.00 98.0000 68.0000 104.000
1.00000 1551.00 1.99254 1563.00 91.0000 83.0000 98.0000
2.00000 1551.00 1.91269 1540.00 98.0000 68.0000 103.000
1.00000 1561.00 2.00060 1573.00 91.0000 83.0000 98.0000
2.00000 1561.00 1.92377 1549.00 97.0000 68.0000 103.000
1.00000 1571.00 2.00721 1583.00 91.0000 83.0000 98.0000
2.00000 1571.00 1.93225 1557.00 98.0000 68.0000 103.000
1.00000 1581.00 2.02002 1592.00 91.0000 82.0000 98.0000
2.00000 1581.00 1.94159 1565.00 99.0000 68.0000 103.000
1.00000 1591.00 2.03271 1600.00 92.0000 82.0000 98.0000
2.00000 1591.00 1.95074 1575.00 99.0000 68.0000 103.000
1.00000 1601.00 2.04682 1606.00 93.0000 82.0000 98.0000
2.00000 1601.00 1.96327 1581.00 99.0000 67.0000 104.000
1.00000 1611.00 2.06136 1613.00 93.0000 81.0000 98.0000
2.00000 1611.00 1.97012 1591.00 99.0000 67.0000 104.000
1.00000 1621.00 2.06925 1623.00 93.0000 81.0000 98.0000
2.00000 1621.00 1.98346 1601.00 99.0000 67.0000 104.000
1.00000 1631.00 2.07551 1632.00 92.0000 81.0000 98.0000
2.00000 1631.00 2.00738 1610.00 99.0000 66.0000 104.000
1.00000 1641.00 2.08621 1642.00 92.0000 81.0000 98.0000
2.00000 1641.00 2.02467 1620.00 99.0000 66.0000 104.000
1.00000 1651.00 2.09564 1652.00 92.0000 81.0000 98.0000
2.00000 1651.00 2.03546 1630.00 99.0000 66.0000 104.000
1.00000 1661.00 2.11069 1662.00 92.0000 81.0000 98.0000
2.00000 1661.00 2.04707 1640.00 99.0000 66.0000 104.000
1.00000 1671.00 2.12086 1672.00 92.0000 81.0000 98.0000
2.00000 1671.00 2.06809 1650.00 99.0000 66.0000 104.000
1.00000 1681.00 2.13429 1681.00 92.0000 80.0000 98.0000
2.00000 1681.00 2.07886 1658.00 99.0000 66.0000 104.000
1.00000 1691.00 2.14901 1691.00 92.0000 80.0000 98.0000
2.00000 1691.00 2.09037 1668.00 99.0000 66.0000 104.000
1.00000 1701.00 2.16163 1700.00 92.0000 79.0000 98.0000
2.00000 1701.00 2.10395 1678.00 99.0000 66.0000 104.000
1.00000 1711.00 2.17171 1710.00 92.0000 79.0000 98.0000
2.00000 1711.00 2.11590 1688.00 99.0000 66.0000 104.000
1.00000 1721.00 2.18551 1720.00 92.0000 79.0000 98.0000
2.00000 1721.00 2.12482 1697.00 98.0000 66.0000 104.000
1.00000 1731.00 2.19816 1726.00 93.0000 79.0000 98.0000
2.00000 1731.00 2.14126 1707.00 98.0000 66.0000 104.000
1.00000 1741.00 2.21469 1736.00 93.0000 79.0000 98.0000
2.00000 1741.00 2.15132 1717.00 98.0000 66.0000 104.000
1.00000 1751.00 2.22005 1746.00 93.0000 79.0000 98.0000
2.00000 1751.00 2.16060 1727.00 98.0000 66.0000 104.000
1.00000 1761.00 2.23598 1756.00 93.0000 79.0000 98.0000
2.00000 1761.00 2.17204 1734.00 99.0000 65.0000 104.000
1.00000 1771.00 2.25217 1766.00 93.0000 79.0000 98.0000
2.00000 1771.00 2.18176 1743.00 99.0000 64.0000 104.000
1.00000 1781.00 2.26335 1774.00 92.0000 78.0000 98.0000
2.00000 1781.00 2.18810 1753.00 99.0000 64.0000 104.000
1.00000 1791.00 2.27750 1783.00 91.0000 78.0000 98.0000
2.00000 1791.00 2.20830 1763.00 99.0000 64.0000 104.000
1.00000 1801.00 2.28824 1793.00 91.0000 78.0000 98.0000
2.00000 1801.00 2.22589 1773.00 99.0000 64.0000 104.000
1.00000 1811.00 2.30341 1803.00 91.0000 78.0000 98.0000
2.00000 1811.00 2.23980 1783.00 99.0000 64.0000 104.000
1.00000 1821.00 2.31853 1813.00 91.0000 78.0000 98.0000
2.00000 1821.00 2.25422 1791.00 99.0000 64.0000 104.000
1.00000 1831.00 2.32819 1821.00 91.0000 78.0000 96.0000
2.00000 1831.00 2.26585 1801.00 99.0000 64.0000 104.000
1.00000 1841.00 2.34325 1828.00 91.0000 77.0000 96.0000
2.00000 1841.00 2.28090 1811.00 99.0000 64.0000 104.000
1.00000 1851.00 2.35850 1838.00 91.0000 77.0000 96.0000
2.00000 1851.00 2.29551 1819.00 99.0000 64.0000 104.000
1.00000 1861.00 2.36925 1848.00 91.0000 77.0000 96.0000
2.00000 1861.00 2.30404 1829.00 99.0000 64.0000 104.000
1.00000 1871.00 2.38442 1856.00 91.0000 77.0000 96.0000
2.00000 1871.00 2.31938 1839.00 99.0000 64.0000 104.000
1.00000 1881.00 2.39327 1865.00 90.0000 77.0000 96.0000
2.00000 1881.00 2.34434 1847.00 99.0000 64.0000 104.000
1.00000 1891.00 2.39990 1873.00 90.0000 77.0000 96.0000
2.00000 1891.00 2.35415 1855.00 98.0000 64.0000 103.000
1.00000 1901.00 2.40677 1881.00 89.0000 76.0000 96.0000
2.00000 1901.00 2.37084 1861.00 97.0000 63.0000 103.000
1.00000 1911.00 2.42169 1891.00 89.0000 76.0000 96.0000
2.00000 1911.00 2.38302 1869.00 98.0000 63.0000 103.000
1.00000 1921.00 2.43893 1901.00 89.0000 76.0000 96.0000
2.00000 1921.00 2.39170 1879.00 98.0000 63.0000 103.000
1.00000 1931.00 2.45241 1910.00 89.0000 75.0000 96.0000
2.00000 1931.00 2.40110 1888.00 97.0000 63.0000 103.000
1.00000 1941.00 2.46618 1920.00 89.0000 75.0000 96.0000
2.00000 1941.00 2.41104 1898.00 97.0000 63.0000 103.000
1.00000 1951.00 2.47772 1930.00 89.0000 75.0000 96.0000
2.00000 1951.00 2.42452 1908.00 97.0000 63.0000 103.000
1.00000 1961.00 2.49563 1940.00 89.0000 75.0000 96.0000
2.00000 1961.00 2.43747 1918.00 97.0000 63.0000 103.000
1.00000 1971.00 2.50777 1950.00 89.0000 75.0000 96.0000
2.00000 1971.00 2.44900 1927.00 96.0000 63.0000 103.000
1.00000 1981.00 2.51771 1960.00 89.0000 75.0000 96.0000
2.00000 1981.00 2.46327 1934.00 96.0000 62.0000 103.000
1.00000 1991.00 2.53590 1969.00 88.0000 75.0000 96.0000
2.00000 1991.00 2.48016 1944.00 96.0000 62.0000 103.000
1.00000 2001.00 2.55180 1978.00 88.0000 74.0000 96.0000
2.00000 2001.00 2.49348 1952.00 96.0000 62.0000 103.000
1.00000 2011.00 2.56024 1986.00 88.0000 72.0000 96.0000
2.00000 2011.00 2.51013 1962.00 96.0000 62.0000 103.000
1.00000 2021.00 2.57258 1995.00 88.0000 71.0000 96.0000
2.00000 2021.00 2.51824 1972.00 96.0000 62.0000 103.000
1.00000 2031.00 2.59056 2005.00 88.0000 71.0000 96.0000
2.00000 2031.00 2.52850 1982.00 96.0000 62.0000 103.000
1.00000 2041.00 2.60284 2015.00 88.0000 71.0000 96.0000
2.00000 2041.00 2.54083 1991.00 96.0000 61.0000 103.000
1.00000 2051.00 2.61209 2024.00 87.0000 71.0000 96.0000
2.00000 2051.00 2.54910 2000.00 95.0000 61.0000 103.000
1.00000 2061.00 2.62153 2034.00 87.0000 71.0000 96.0000
2.00000 2061.00 2.56542 2008.00 96.0000 61.0000 103.000
